Id,Score
1224650,4.0
1019381,4.0
504719,4.0
1622425,5.0
482286,5.0
1074829,5.0
1599357,4.0
1087427,5.0
203315,1.0
235783,5.0
418427,3.0
606664,5.0
696810,4.0
223492,5.0
980977,3.0
722783,5.0
338418,5.0
1446246,5.0
1346589,2.0
236375,4.0
986998,5.0
112636,5.0
709913,5.0
1584482,1.0
193582,5.0
1135952,3.0
389670,1.0
730761,5.0
477585,5.0
749958,4.0
931033,4.0
1139449,5.0
601607,4.0
694863,5.0
1301228,1.0
331166,3.0
1338905,3.0
840140,4.0
1682050,3.0
1445676,5.0
1415929,3.0
693164,4.0
1069701,5.0
160226,3.0
1369602,5.0
1521625,5.0
98468,5.0
437956,3.0
1001491,3.0
1001918,4.0
1442224,5.0
322903,5.0
529559,5.0
738622,5.0
1425126,5.0
1511284,1.0
1668562,5.0
1274969,3.0
630200,1.0
1309573,4.0
1230948,5.0
1547998,5.0
1097328,4.0
1175137,1.0
116385,2.0
952092,5.0
170056,5.0
28814,2.0
1593702,4.0
1596258,4.0
1443968,3.0
563324,2.0
647903,5.0
6944,3.0
531596,5.0
927186,5.0
468630,5.0
1129922,5.0
1477741,3.0
871815,5.0
300910,4.0
444195,3.0
397205,5.0
1477378,5.0
376312,4.0
1512714,2.0
1443157,3.0
1636194,4.0
23721,5.0
714335,4.0
1064055,3.0
672585,5.0
1632463,4.0
1356967,5.0
859910,4.0
1183027,5.0
1594591,2.0
102215,5.0
1386623,2.0
134189,5.0
1614098,4.0
1178859,3.0
863855,5.0
1286215,3.0
1117510,4.0
1584834,5.0
1651612,5.0
1557634,3.0
788577,5.0
694394,2.0
754643,5.0
1666598,5.0
722087,5.0
479697,4.0
734811,3.0
486800,1.0
384436,5.0
1486440,5.0
745493,1.0
788495,5.0
1127921,5.0
1512483,3.0
188986,3.0
1055361,4.0
1237611,5.0
72699,5.0
1204544,4.0
326864,5.0
92559,5.0
265983,1.0
936730,4.0
1341646,5.0
351945,3.0
1269031,5.0
407478,3.0
672861,2.0
802742,5.0
243204,1.0
1561704,2.0
561539,1.0
238019,5.0
548844,4.0
358347,4.0
842015,5.0
149826,5.0
763788,2.0
1028808,5.0
2385,4.0
1483446,5.0
1004839,4.0
1568918,5.0
765235,4.0
672321,3.0
1064452,5.0
1671286,5.0
1096093,1.0
720102,1.0
494732,5.0
1429619,5.0
936225,5.0
412520,5.0
1003436,5.0
1266962,3.0
806230,4.0
807814,4.0
382694,4.0
1060581,4.0
37906,4.0
1080972,5.0
1357933,5.0
342091,4.0
1691293,1.0
149929,5.0
712267,5.0
1029370,4.0
568862,4.0
1273886,5.0
1503858,5.0
688820,5.0
1322221,5.0
291951,4.0
1586532,5.0
4194,5.0
1003607,5.0
1534933,1.0
1108132,5.0
1374096,5.0
1347455,5.0
727483,4.0
274961,3.0
386188,5.0
1313332,1.0
971628,5.0
1580295,3.0
1291393,5.0
846471,5.0
775047,5.0
960763,3.0
184139,5.0
1297439,2.0
1537294,5.0
303014,5.0
875295,5.0
1316945,4.0
1231626,5.0
859802,3.0
1009532,5.0
982780,5.0
935991,2.0
931863,4.0
636068,2.0
849396,5.0
1414667,3.0
1247639,5.0
242643,3.0
33126,4.0
1004472,5.0
613575,2.0
187322,3.0
279506,5.0
1300087,5.0
39568,5.0
811939,4.0
735920,5.0
824693,5.0
201220,5.0
1177655,5.0
301709,3.0
59959,5.0
335751,4.0
1386072,3.0
999247,3.0
1410840,3.0
204626,5.0
560024,4.0
88286,3.0
1029122,4.0
511929,5.0
597980,5.0
538591,3.0
1436316,3.0
1694868,4.0
1454736,5.0
1020124,5.0
952052,5.0
893195,3.0
568727,5.0
100852,2.0
433297,3.0
1440132,3.0
327352,4.0
904137,4.0
420575,5.0
913974,5.0
890661,4.0
817209,4.0
572919,5.0
207288,3.0
1444717,5.0
1520189,2.0
270805,5.0
1178154,4.0
54750,5.0
1191652,4.0
567591,1.0
1031225,3.0
857238,4.0
766999,5.0
159205,2.0
178278,4.0
985744,1.0
1007619,4.0
1291343,2.0
1440754,1.0
1432284,3.0
713219,5.0
905725,5.0
1674828,5.0
346850,5.0
1412387,5.0
1142603,4.0
1348895,5.0
1218521,5.0
633145,5.0
1536616,2.0
1296691,5.0
973622,4.0
738298,2.0
802771,5.0
561108,5.0
983741,5.0
124069,3.0
255844,1.0
86039,1.0
556213,5.0
1293660,4.0
1550955,1.0
248443,3.0
576267,3.0
1037624,4.0
101060,5.0
922288,5.0
1127160,5.0
919672,5.0
616650,2.0
147164,4.0
372811,5.0
949330,5.0
1183900,1.0
284952,4.0
1573443,4.0
1176155,5.0
717961,4.0
1286117,5.0
1071297,5.0
1465106,2.0
1428206,4.0
1672849,5.0
324458,5.0
800469,2.0
1306980,5.0
981023,1.0
1223728,3.0
1286467,5.0
455421,5.0
443075,5.0
844412,4.0
771139,1.0
730003,5.0
1544121,3.0
181464,4.0
437205,5.0
1396676,3.0
346398,4.0
90851,1.0
734199,3.0
419821,4.0
1543669,3.0
1288040,5.0
1510564,4.0
448002,5.0
1518354,4.0
1175377,5.0
982784,4.0
59445,2.0
188757,4.0
1141553,5.0
1471041,3.0
1685060,5.0
948449,1.0
712672,4.0
1320161,5.0
761193,4.0
363364,2.0
810555,5.0
354705,5.0
124193,5.0
1009698,4.0
943864,1.0
1262042,4.0
1471215,1.0
841495,5.0
320130,5.0
429555,5.0
1148221,5.0
234961,5.0
797528,3.0
717869,5.0
1517830,5.0
298324,5.0
1339768,5.0
209806,4.0
471681,5.0
1050473,5.0
1220875,2.0
1012506,3.0
682577,5.0
720821,2.0
349412,2.0
1005919,4.0
1645510,4.0
205879,5.0
654404,3.0
1226316,1.0
872588,5.0
100023,5.0
1559745,5.0
408200,5.0
254046,5.0
1503641,2.0
1474849,5.0
1604215,1.0
732878,5.0
381925,4.0
212464,3.0
532505,5.0
1185385,4.0
886068,5.0
792059,4.0
1101142,4.0
1368042,5.0
559385,5.0
62995,5.0
1147697,5.0
1077573,5.0
1093804,4.0
822523,5.0
242632,4.0
805665,4.0
497715,5.0
627393,5.0
711428,5.0
1559901,3.0
531703,4.0
285216,1.0
744688,4.0
161149,5.0
565556,4.0
637294,5.0
1027571,4.0
1311529,4.0
921326,5.0
738411,5.0
372690,4.0
513172,4.0
1461385,5.0
1354341,5.0
1328359,4.0
3920,5.0
964658,4.0
1164723,5.0
540960,5.0
1015450,5.0
105483,5.0
399824,4.0
1023627,1.0
96563,4.0
536551,5.0
1321508,5.0
354908,1.0
1138375,5.0
266891,5.0
941902,5.0
264350,5.0
157451,5.0
317752,3.0
669313,5.0
1067519,4.0
152290,5.0
5971,5.0
734468,5.0
592268,5.0
1087418,5.0
813159,4.0
982416,5.0
226116,5.0
1490051,4.0
715775,3.0
760069,5.0
1611033,5.0
296465,4.0
1001113,1.0
1226447,4.0
763116,5.0
1281874,1.0
710449,4.0
655670,4.0
1279441,5.0
138971,5.0
1204844,5.0
216367,4.0
1322495,5.0
1562683,5.0
1215585,4.0
1180715,3.0
1133340,5.0
379997,5.0
1539285,3.0
893054,5.0
1614606,3.0
120209,4.0
423698,5.0
247296,5.0
1484863,4.0
945367,5.0
258433,5.0
461381,4.0
350528,4.0
1210620,5.0
497884,5.0
221815,5.0
1518430,4.0
183506,5.0
1296030,5.0
607946,1.0
1046413,5.0
853096,3.0
1043738,4.0
1522563,5.0
546029,1.0
710264,1.0
1265676,3.0
1452935,5.0
556793,5.0
147314,5.0
660387,4.0
355287,5.0
415864,4.0
211593,5.0
1284704,5.0
1548098,3.0
1254602,5.0
532462,3.0
940585,4.0
18146,5.0
533116,5.0
1689119,5.0
607919,4.0
1340969,3.0
517289,4.0
493042,4.0
122609,3.0
21836,5.0
1678823,3.0
770806,4.0
205382,4.0
229956,5.0
688523,3.0
191327,3.0
1451242,3.0
1169335,4.0
346155,5.0
1220563,4.0
1167378,3.0
223019,2.0
221213,5.0
1296203,5.0
284785,5.0
1275081,1.0
240410,4.0
110347,4.0
1164165,4.0
1261797,5.0
1149351,2.0
643253,5.0
123661,5.0
898557,5.0
1123032,5.0
434563,4.0
142551,5.0
104231,4.0
510232,5.0
300718,5.0
1268699,5.0
445284,5.0
234062,5.0
1441578,5.0
312967,2.0
1267520,1.0
1463693,3.0
1677847,3.0
143782,5.0
939099,4.0
776793,5.0
1412996,5.0
263261,4.0
85384,1.0
132492,4.0
265701,4.0
1525772,5.0
1271296,4.0
531323,4.0
1486801,5.0
779508,4.0
156100,5.0
945559,5.0
208125,5.0
675342,5.0
922823,5.0
1522070,5.0
423760,5.0
1311695,4.0
558185,4.0
111732,5.0
901314,1.0
1339566,2.0
1241977,5.0
71391,4.0
170312,3.0
1000354,5.0
961032,4.0
635643,4.0
1548753,5.0
208482,2.0
634507,5.0
583242,5.0
1676668,1.0
1626819,2.0
473258,3.0
1191080,3.0
1693117,2.0
1469208,3.0
989207,4.0
1193492,1.0
1646309,4.0
158626,5.0
1493965,5.0
1313738,4.0
100873,5.0
904247,4.0
146516,1.0
98025,1.0
1304679,5.0
1317081,5.0
1565984,3.0
1121370,5.0
307830,5.0
957034,5.0
1501151,4.0
844933,4.0
1304405,5.0
119572,2.0
1665186,5.0
1294739,5.0
881047,5.0
779732,5.0
1512399,4.0
1039265,5.0
391435,5.0
355931,5.0
1475617,4.0
694297,4.0
960210,5.0
32589,5.0
1613645,5.0
972608,5.0
747293,4.0
304301,5.0
560335,1.0
207022,4.0
1561526,5.0
624346,1.0
1043786,4.0
328968,4.0
313687,5.0
801384,1.0
126434,5.0
413020,4.0
930959,5.0
863835,5.0
1368923,5.0
332637,5.0
1289508,3.0
1441662,5.0
752981,4.0
899707,5.0
941467,4.0
401367,5.0
80286,3.0
1013556,4.0
403365,5.0
146788,4.0
724344,4.0
586789,2.0
500617,5.0
58748,3.0
688475,2.0
90520,5.0
1346263,4.0
1034651,5.0
801737,3.0
177654,5.0
623938,5.0
818931,5.0
1142967,2.0
1594269,5.0
1229185,5.0
1539076,4.0
1548545,5.0
1506326,3.0
1118431,4.0
294583,3.0
1448662,5.0
791930,3.0
1305170,4.0
1330679,4.0
774282,5.0
802225,1.0
1519011,4.0
1101518,5.0
1445293,5.0
998624,5.0
1081417,2.0
635819,5.0
862639,5.0
314723,4.0
1643318,5.0
481546,4.0
992379,5.0
897591,4.0
421023,3.0
427931,5.0
1409812,5.0
1455039,5.0
323098,1.0
924454,5.0
1201143,3.0
1136461,5.0
543423,2.0
255531,5.0
1215882,2.0
583601,4.0
690436,3.0
681141,5.0
88161,5.0
862100,4.0
1374276,4.0
1333213,5.0
318780,5.0
1493080,5.0
491903,5.0
518377,5.0
1467372,5.0
1348760,3.0
96038,3.0
1399377,4.0
313029,4.0
1345032,4.0
400837,5.0
580678,5.0
853841,5.0
433288,3.0
472033,2.0
1391296,2.0
517823,1.0
435487,5.0
299563,5.0
1452523,4.0
843516,5.0
1477368,3.0
1341928,4.0
1177192,5.0
1125966,4.0
1179249,5.0
197109,5.0
1680463,5.0
920668,5.0
986056,4.0
838383,5.0
418798,1.0
254036,5.0
695876,5.0
374167,5.0
1441492,3.0
772460,3.0
1099265,5.0
421246,5.0
1479076,4.0
755482,2.0
1045577,1.0
147883,5.0
1563468,5.0
1589325,4.0
976026,4.0
760768,5.0
898203,2.0
575286,2.0
990418,5.0
413022,4.0
307319,3.0
194465,5.0
375269,1.0
514941,1.0
1667083,5.0
1078320,5.0
97578,4.0
589221,2.0
6773,3.0
430313,5.0
1121684,5.0
1598166,5.0
864366,5.0
1302708,5.0
897057,5.0
137831,5.0
275990,4.0
1343675,5.0
1617300,4.0
1262997,5.0
983581,4.0
663849,5.0
430269,5.0
404107,5.0
1312388,5.0
853862,5.0
1525083,4.0
1501948,3.0
430677,4.0
550068,5.0
681051,3.0
1393398,4.0
2600,2.0
932059,5.0
1312410,5.0
1058065,5.0
1278873,5.0
984704,3.0
1108742,4.0
1138600,2.0
1292996,3.0
534045,4.0
1530195,4.0
406656,5.0
863897,5.0
1540263,5.0
710591,5.0
672192,4.0
856929,5.0
681759,5.0
51244,4.0
618189,5.0
501780,1.0
1497051,2.0
1627258,3.0
1288858,5.0
1090397,4.0
1076200,5.0
159815,5.0
366485,4.0
93998,1.0
1191972,4.0
895794,5.0
176070,5.0
1411677,3.0
568313,3.0
70185,5.0
1417157,5.0
1632596,5.0
979147,5.0
1018401,5.0
161566,5.0
757756,5.0
78107,5.0
603495,4.0
698360,5.0
64546,5.0
1141104,5.0
839168,1.0
1157843,4.0
151136,3.0
1545091,5.0
856022,3.0
95707,5.0
25852,5.0
899031,5.0
694037,4.0
59593,5.0
864620,5.0
336914,4.0
510673,3.0
1190490,1.0
281161,5.0
1408650,4.0
1119395,1.0
528200,5.0
1492112,5.0
1629647,1.0
1274082,3.0
512560,3.0
299129,5.0
792934,2.0
1257476,1.0
620623,2.0
184785,2.0
1305528,4.0
1354553,5.0
1470852,4.0
923019,5.0
1670990,4.0
1534272,5.0
1015217,1.0
722040,5.0
923082,5.0
892944,5.0
698503,5.0
389672,5.0
1676830,4.0
520175,5.0
451849,3.0
1467075,4.0
743685,4.0
1031255,4.0
1223971,1.0
1431338,5.0
999900,5.0
1487316,5.0
1222546,4.0
632803,5.0
1238641,5.0
657233,4.0
1082696,1.0
949835,4.0
140195,5.0
515326,1.0
1198698,5.0
395837,4.0
1427303,5.0
547464,4.0
779973,4.0
1124609,4.0
734712,5.0
1657184,5.0
1364289,5.0
1592582,5.0
454915,4.0
44852,5.0
807714,3.0
1133426,4.0
1695438,2.0
1695553,4.0
870892,4.0
724330,4.0
848722,3.0
1107373,5.0
1071949,4.0
172858,3.0
291097,5.0
98604,4.0
1656181,1.0
559264,4.0
1505839,2.0
1608712,4.0
1299124,5.0
1285069,1.0
841706,1.0
577654,5.0
1007418,5.0
234811,5.0
176194,4.0
163102,5.0
787389,5.0
1547959,5.0
720542,5.0
1404331,4.0
978497,1.0
201624,1.0
1037328,3.0
930434,4.0
1175345,4.0
689810,4.0
697317,1.0
454149,1.0
1073346,5.0
661249,5.0
360347,4.0
736671,4.0
1430014,1.0
941646,4.0
1246581,3.0
625325,4.0
939711,4.0
100101,5.0
1479795,5.0
730386,3.0
1196134,3.0
933658,5.0
870152,3.0
1263531,4.0
71129,1.0
56754,4.0
1180339,5.0
1347485,5.0
1438032,5.0
343019,4.0
106324,5.0
1507223,5.0
250068,4.0
1484745,5.0
801846,5.0
848899,5.0
225319,4.0
989909,4.0
460384,5.0
354687,1.0
1192515,5.0
863322,5.0
1226560,5.0
206507,5.0
163735,1.0
1010470,4.0
401893,4.0
490033,2.0
528884,5.0
184471,5.0
1456638,2.0
1644044,4.0
1275794,5.0
488973,3.0
1370883,5.0
57191,5.0
283100,5.0
253972,5.0
1388355,4.0
68153,5.0
1057743,5.0
1483382,3.0
1649638,5.0
932083,5.0
122273,1.0
1689442,5.0
1272052,2.0
1299228,5.0
18474,4.0
612664,3.0
1696539,3.0
1162028,4.0
666627,5.0
1073655,4.0
524484,5.0
1483095,5.0
561905,5.0
1520948,5.0
1232825,5.0
1070300,3.0
1603046,5.0
1648421,3.0
758129,2.0
972973,5.0
1215675,4.0
287091,4.0
409335,5.0
173766,4.0
725865,4.0
1258044,3.0
1509251,5.0
510170,4.0
418235,5.0
786935,4.0
751054,5.0
984280,5.0
605813,4.0
165958,5.0
1019478,3.0
406871,5.0
887379,5.0
559747,4.0
1338213,4.0
764889,5.0
127563,5.0
387254,4.0
1697410,1.0
1398376,5.0
262113,2.0
903565,5.0
854011,4.0
908579,4.0
1327441,5.0
1026090,4.0
477079,3.0
927089,5.0
225933,5.0
24751,5.0
1549105,4.0
1233597,1.0
707974,2.0
1521823,4.0
548553,4.0
511470,3.0
208286,5.0
605801,1.0
1122362,2.0
735342,4.0
1278525,4.0
1583089,5.0
1257722,5.0
1483049,4.0
825692,5.0
192696,2.0
621611,5.0
904663,4.0
70114,3.0
1142413,3.0
1564821,2.0
1438934,5.0
1102333,4.0
124783,5.0
675653,5.0
535483,5.0
1297524,1.0
1537762,5.0
1325352,5.0
1638030,3.0
1399187,5.0
712146,5.0
214603,4.0
213141,4.0
43971,4.0
493287,3.0
334187,2.0
1611141,4.0
226290,5.0
1279455,2.0
1677336,3.0
1629031,5.0
402645,5.0
336,5.0
1434312,4.0
23961,3.0
53036,4.0
774899,5.0
1259878,5.0
987525,2.0
1134202,4.0
323503,5.0
386730,5.0
1537633,5.0
985818,5.0
1045146,5.0
1636851,5.0
806175,1.0
167711,5.0
131111,1.0
924453,5.0
1605600,5.0
717698,5.0
1174617,5.0
1011530,1.0
1027036,4.0
1409394,5.0
721517,4.0
188303,2.0
1226510,2.0
498163,5.0
1679505,1.0
1442532,3.0
1074410,5.0
1053902,2.0
1574121,5.0
331168,3.0
1668290,5.0
1311545,4.0
1018362,5.0
1389261,5.0
333630,5.0
496656,3.0
1449695,5.0
1005293,3.0
889027,4.0
121429,5.0
1399553,5.0
261912,5.0
259603,5.0
675409,4.0
962081,4.0
896891,4.0
1066186,5.0
1608414,4.0
748154,4.0
525434,5.0
1399288,4.0
47503,2.0
876265,4.0
724472,4.0
387652,4.0
507004,5.0
204039,5.0
659276,5.0
1504791,5.0
784762,2.0
734902,5.0
1398590,5.0
795275,3.0
771823,5.0
120924,5.0
1609812,4.0
721570,3.0
1601259,5.0
163110,5.0
433200,5.0
253201,5.0
20767,5.0
520009,3.0
388564,5.0
1448413,3.0
1405653,5.0
82553,5.0
552932,4.0
1586851,5.0
715690,1.0
860227,4.0
132555,5.0
31027,2.0
874595,5.0
1619194,5.0
509367,4.0
1497573,5.0
928863,2.0
1259800,4.0
948043,5.0
199263,5.0
1352239,5.0
1146530,4.0
64261,4.0
890565,1.0
209927,5.0
1060187,5.0
973389,5.0
687096,5.0
532918,1.0
1348665,4.0
1458071,5.0
1434140,5.0
624630,5.0
680055,5.0
1161771,5.0
615340,5.0
1409954,5.0
311098,5.0
106800,1.0
540861,4.0
710041,5.0
366879,5.0
336448,5.0
1339369,2.0
369376,1.0
1567603,5.0
519845,5.0
515742,5.0
965992,3.0
1655072,5.0
6614,4.0
912245,4.0
796904,3.0
1603072,4.0
1435107,3.0
1567934,4.0
275941,5.0
370839,5.0
766541,5.0
455418,1.0
1062118,2.0
1613455,5.0
950638,4.0
126931,4.0
1537075,5.0
1120285,3.0
1008020,3.0
1203356,5.0
1356531,5.0
187876,4.0
233170,1.0
1233951,4.0
1058345,4.0
611610,2.0
1301292,4.0
396206,4.0
103001,2.0
1205427,5.0
263109,3.0
1113819,5.0
1132320,5.0
707969,2.0
565689,4.0
464323,5.0
1661950,5.0
630653,1.0
1060528,3.0
928522,2.0
851360,5.0
1031390,4.0
336796,5.0
151325,5.0
1533500,4.0
950289,4.0
214968,4.0
23146,5.0
413272,5.0
1220929,5.0
815114,3.0
1389440,4.0
742615,4.0
465474,1.0
1166614,5.0
181544,5.0
1347828,4.0
388028,3.0
1299737,3.0
1475799,4.0
298932,4.0
1374541,4.0
1213290,5.0
133201,5.0
1666641,3.0
311603,5.0
1180413,3.0
632725,2.0
1520956,5.0
1289057,5.0
1421084,5.0
1531729,5.0
1338176,3.0
861143,4.0
1642521,1.0
78117,5.0
301226,2.0
913193,1.0
1201217,5.0
1233212,2.0
383031,5.0
663610,2.0
265200,1.0
1592274,2.0
617980,2.0
54497,5.0
1189824,2.0
180232,4.0
602396,1.0
48395,5.0
1292676,5.0
668581,5.0
1021477,3.0
541468,4.0
1211174,4.0
1196305,4.0
424109,5.0
494329,2.0
1201435,3.0
215095,5.0
1117794,4.0
1647919,4.0
424899,5.0
927450,4.0
1040770,5.0
893242,5.0
398241,5.0
894388,5.0
1515266,4.0
480137,5.0
1564698,2.0
1041656,3.0
1355065,5.0
862446,1.0
1148972,5.0
558374,5.0
1636988,2.0
517298,5.0
388248,5.0
1409243,5.0
734222,5.0
39458,4.0
225870,5.0
438445,4.0
1058175,4.0
1329210,5.0
1607824,5.0
932250,5.0
1633948,4.0
811854,3.0
239573,5.0
479477,4.0
881193,5.0
1227934,1.0
